Date,Developer,Project,Total_Units,Sold_Units,Unsold_Units,Take_Up_Rate
2025-12-20,BINTANG URUSJUTA (M) SDN. BHD,14677-1 TAMAN ANJUNG GAPAM,143,143,0,100.0
2025-12-20,BINTANG URUSJUTA (M) SDN. BHD,14677-10 TAMAN SERAMBI GAPAM,145,97,48,66.9
2025-12-20,BINTANG URUSJUTA (M) SDN. BHD,14677-2 TAMAN ANJUNG GAPAM,120,120,0,100.0
2025-12-20,BINTANG URUSJUTA (M) SDN. BHD,14677-3 TAMAN ANJUNG GAPAM,73,73,0,100.0
2025-12-20,BINTANG URUSJUTA (M) SDN. BHD,14677-4 BINTANG URUSJUTA (M) SDN BHD,117,117,0,100.0
2025-12-20,BINTANG URUSJUTA (M) SDN. BHD,14677-5 TAMAN ANJUNG GAPAM,180,180,0,100.0
2025-12-20,BINTANG URUSJUTA (M) SDN. BHD,14677-6 TAMAN ANJUNG GAPAM,75,74,1,98.7
2025-12-20,BINTANG URUSJUTA (M) SDN. BHD,14677-7 TAMAN ANJUNG GAPAM,180,180,0,100.0
2025-12-20,BINTANG URUSJUTA (M) SDN. BHD,14677-8 TAMAN ANJUNG GAPAM,123,58,65,47.2
2025-12-20,BINTANG URUSJUTA (M) SDN. BHD,14677-9 TAMAN SERAMBI GAPAM,77,71,6,92.2
2025-12-20,BINTANG URUSJUTA (M) SDN. BHD,31199-1 TAMAN BANDAR BAHARU KIJAL,39,31,8,79.5
2025-12-20,COUNTRY VILLAS RESORT SDN. BHD,12308-1 COUNTRY VILLAS RESORT SDN BHD,199,199,0,100.0
2025-12-20,COUNTRY VILLAS RESORT SDN. BHD,12308-2 PEBBLE BEACH,129,129,0,100.0
2025-12-20,COUNTRY VILLAS RESORT SDN. BHD,12308-3 COUNTRY VILLAS RESORT,37,37,0,100.0
2025-12-20,COUNTRY VILLAS RESORT SDN. BHD,12308-4 COUNTRY VILLAS RESORT,57,57,0,100.0
2025-12-20,COUNTRY VILLAS RESORT SDN. BHD,12308-5 COUNTRY VILLAS RESORT,124,124,0,100.0
2025-12-20,COUNTRY VILLAS RESORT SDN. BHD,12308-6 COUNTRY VILLAS RESORT,66,60,6,90.9
